Date,Opposition,Competition,Season,Scorer,Assist,GoalType,AssistType,Minute,6YardBox,18YardBox,LongRange,CrossSide,Foot
1991-10-26,Wolverhampton Wanderers,League,1991,Jim Steel,,,,,,,,,
1991-10-29,Leeds United,League Cup,1991,John Aldridge,,,,,,,,,
1991-11-02,Derby County,League,1991,John Aldridge,,,,,,,,,
1991-11-05,Millwall,League,1991,Kenny Irons,,,,,,,,,
1991-11-05,Millwall,League,1991,John Aldridge,,,,,,,,,
1991-11-08,Plymouth Argyle,League,1991,John Aldridge,,,,,,,,,
1991-11-16,Runcorn,FA Cup,1991,John Aldridge,,,,,,,,,
1991-11-16,Runcorn,FA Cup,1991,John Aldridge,,,,,,,,,
1991-11-16,Runcorn,FA Cup,1991,Kenny Irons,,,,,,,,,
1991-12-07,York City,FA Cup,1991,John Morrissey,,,,,,,,,
1991-12-13,Port Vale,League,1991,Steve Cooper,,,,,,,,,
1991-12-17,York City,FA Cup,1991,Kenny Irons,,,,,,,,,
1991-12-17,York City,FA Cup,1991,John Aldridge,,,,,,,,,
1991-12-26,Sunderland,League,1991,Kenny Irons,,,,,,,,,
1991-12-28,Grimsby Town,League,1991,John Aldridge,,,,,,,,,
1992-01-04,Oxford United,FA Cup,1991,Chris Malkin,,,,,,,,,
1992-01-17,Brighton & Hove Albion,League,1991,Ian Muir,,,,,,,,,
1992-01-24,Watford,League,1991,John Morrissey,,,,,,,,,
1992-02-08,Wolverhampton Wanderers,League,1991,John Morrissey,,,,,,,,,
1992-02-08,Wolverhampton Wanderers,League,1991,John Morrissey,,,,,,,,,
1992-02-08,Wolverhampton Wanderers,League,1991,John Aldridge,,,,,,,,,
1992-02-08,Wolverhampton Wanderers,League,1991,Chris Malkin,,,,,,,,,
1992-02-11,Sunderland,League,1991,John Aldridge,,,,,,,,,
1992-03-06,Port Vale,League,1991,Jim Harvey,,,,,,,,,
1992-03-06,Port Vale,League,1991,John Aldridge,,,,,,,,,
1992-03-11,Millwall,League,1991,John Aldridge,,,,,,,,,
1992-03-11,Millwall,League,1991,John Aldridge,,,,,,,,,
1992-03-11,Millwall,League,1991,John Morrissey,,,,,,,,,
1992-03-14,Derby County,League,1991,John Aldridge,,,,,,,,,
1992-03-14,Derby County,League,1991,John Aldridge,,,,,,,,,
1992-03-14,Derby County,League,1991,John Aldridge,,,,,,,,,
1992-03-14,Derby County,League,1991,Kenny Irons,,,,,,,,,
1992-03-27,Leicester City,League,1991,Ian Muir,,,,,,,,,
1992-03-31,Bristol City,League,1991,Ian Nolan,,,,,,,,,
1992-03-31,Bristol City,League,1991,Jim Steel,,,,,,,,,
1992-04-04,Newcastle United,League,1991,John Aldridge,,,,,,,,,
1992-04-04,Newcastle United,League,1991,John Aldridge,,,,,,,,,
1992-04-04,Newcastle United,League,1991,John Morrissey,,,,,,,,,
1992-04-07,Portsmouth,League,1991,Kenny Irons,,,,,,,,,
1992-04-07,Portsmouth,League,1991,Tony Thomas,,,,,,,,,
1992-04-10,Middlesbrough,League,1991,Ian Muir,,,,,,,,,
1992-04-18,Barnsley,League,1991,Ian Muir,,,,,,,,,
1992-04-20,Blackburn Rovers,League,1991,Ian Muir,,,,,,,,,
1992-04-20,Blackburn Rovers,League,1991,Kenny Irons,,,,,,,,,
1992-04-25,Southend United,League,1991,Kenny Irons,,,,,,,,,
1992-04-28,Charlton Athletic,League,1991,John Aldridge,,,,,,,,,
1992-05-02,Oxford United,League,1991,John Aldridge,,,,,,,,,
1991-10-01,Newcastle United,Zenith Data Systems Trophy,1991,John Aldridge,,,,,,,,,
1991-10-01,Newcastle United,Zenith Data Systems Trophy,1991,John Aldridge,,,,,,,,,
1991-10-01,Newcastle United,Zenith Data Systems Trophy,1991,John Aldridge,,,,,,,,,
1991-10-01,Newcastle United,Zenith Data Systems Trophy,1991,Jim Steel,,,,,,,,,
1991-10-01,Newcastle United,Zenith Data Systems Trophy,1991,Dave Martindale,,,,,,,,,
1991-10-01,Newcastle United,Zenith Data Systems Trophy,1991,Neil McNab,,,,,,,,,
1991-10-22,Grimsby Town,Zenith Data Systems Trophy,1991,John Aldridge,,,,,,,,,
1991-10-22,Grimsby Town,Zenith Data Systems Trophy,1991,John Aldridge,,,,,,,,,
1991-10-22,Grimsby Town,Zenith Data Systems Trophy,1991,John Aldridge,,,,,,,,,
1991-10-22,Grimsby Town,Zenith Data Systems Trophy,1991,Jim Steel,,,,,,,,,
1991-10-22,Grimsby Town,Zenith Data Systems Trophy,1991,Dave Martindale,,,,,,,,,
1991-11-26,Middlesbrough,Zenith Data Systems Trophy,1991,John Aldridge,,,,,,,,,
,,,,,,,,,,,,,
