Date,Opposition,Competition,Season,Scorer,Assist,GoalType,AssistType,Minute,6YardBox,18YardBox,LongRange,CrossSide,Foot
1991-08-17,Brighton & Hove Albion,League,1991,John Aldridge,,,,,,,,,
1991-08-17,Brighton & Hove Albion,League,1991,John Aldridge,,,,,,,,,
1991-08-20,Halifax Town,League Cup,1991,John Aldridge,,,,,,,,,
1991-08-20,Halifax Town,League Cup,1991,John Aldridge,,,,,,,,,
1991-08-20,Halifax Town,League Cup,1991,John Aldridge,,,,,,,,,
1991-08-20,Halifax Town,League Cup,1991,Kenny Irons,,,,,,,,,
1991-08-23,Bristol Rovers,League,1991,John Aldridge,,,,,,,,,
1991-08-23,Bristol Rovers,League,1991,Jim Steel,,,,,,,,,
1991-08-27,Halifax Town,League Cup,1991,John Aldridge,,,,,,,,,
1991-08-27,Halifax Town,League Cup,1991,John Aldridge,,,,,,,,,
1991-08-27,Halifax Town,League Cup,1991,Jim Steel,,,,,,,,,
1991-08-27,Halifax Town,League Cup,1991,Jim Steel,,,,,,,,,
1991-08-31,Grimsby Town,League,1991,John Aldridge,,,,,,,,,
1991-08-31,Grimsby Town,League,1991,Tony Thomas,,,,,,,,,
1991-09-03,Charlton Athletic,League,1991,Mark Hughes,,,,,,,,,
1991-09-03,Charlton Athletic,League,1991,Chris Malkin,,,,,,,,,
1991-09-07,Newcastle United,League,1991,Steve Vickers,,,,,,,,,
1991-09-07,Newcastle United,League,1991,Chris Malkin,,,,,,,,,
1991-09-07,Newcastle United,League,1991,Tony Thomas,,,,,,,,,
1991-09-14,Bristol City,League,1991,Ged Brannan,,,,,,,,,
1991-09-14,Bristol City,League,1991,Kenny Irons,,,,,,,,,
1991-09-21,Barnsley,League,1991,Dave Higgins,,,,,,,,,
1991-09-21,Barnsley,League,1991,John Aldridge,,,,,,,,,
1991-09-25,Chelsea,League Cup,1991,John Aldridge,,,,,,,,,
1991-10-04,Southend United,League,1991,Jim Steel,,,,,,,,,
1991-10-08,Chelsea,League Cup,1991,John Aldridge,,,,,,,,,
1991-10-08,Chelsea,League Cup,1991,Jim Steel,,,,,,,,,
1991-10-08,Chelsea,League Cup,1991,Chris Malkin,,,,,,,,,
1991-10-18,Cambridge United,League,1991,John Aldridge,,,,,,,,,
