Date,Opposition,Competition,Season,Scorer,Assist,GoalType,AssistType,Minute,6YardBox,18YardBox,LongRange,CrossSide,Foot2001-01-27,Everton,FA Cup,2000,Steve Yates,Sean Flynn,Header,Cross,22,,18YardBox,,Right,
2001-01-27,Everton,FA Cup,2000,Jason Koumas,Andy Parkinson,Shot,Pass,35,,18YardBox,,,Right
2001-01-27,Everton,FA Cup,2000,Steve Yates,Jason Koumas,Header,Corner,62,,18YardBox,,Right,
2001-03-11,Liverpool,FA Cup,200,Steve Yates,Jason Koumas,Header,Cross,47,6YardBox,,,Left,
2001-03-11,Liverpool,FA Cup,2000,,Wayne Allison,,Shot,,58,,18YardBox,,,Right
2000-01-08,Sunderland,1999,FA Cup,Wayne Allison,Clint Hill,Shot,Header,25,,18YardBox,,,Right
2000-02-27,Leicester City,League Cup,1999,David Kelly,Gary Jones,Shot,Header,77,,18YardBox,,,Left
2004-10-02,Luton Town,League,2004,Ryan Taylor,,Free Kick,,,,,LongRange,,Right
