Date,Opposition,Competition,Season,Scorer,Assist,GoalType,AssistType,Minute,6YardBox,18YardBox,LongRange,CrossSide,Foot
1989-01-02,Burnley,League,1988,Jim Steel,,,,,,,,,
1989-01-07,Reading,FA Cup,1988,Steve Vickers,,,,,,,,,
1989-01-11,Reading,FA Cup,1988,Ian Muir,,,,,,,,,
1989-01-13,Colchester United,League,1988,Steve Vickers,,,,,,,,,
1989-01-13,Colchester United,League,1988,Mark McCarrick,,,,,,,,,
1989-01-13,Colchester United,League,1988,Jim Harvey,,,,,,,,,
1989-01-21,Scarborough,League,1988,Eddie Bishop,,,,,,,,,
1989-01-28,Cambridge United,League,1988,John Morrissey,,,,,,,,,
1989-02-04,Peterborough United,League,1988,Chris Malkin,,,,,,,,,
1989-02-10,Halifax Town,League,1988,Eddie Bishop,,,,,,,,,
1989-02-10,Halifax Town,League,1988,Steve Vickers,,,,,,,,,
1989-02-18,York City,League,1988,Ian Muir,,,,,,,,,
1989-03-01,Lincoln City,League,1988,Ian Muir,,Header,,,,TRUE,,,
1989-03-03,Wrexham,League,1988,Jim Steel,,,,,,,,,
1989-03-03,Wrexham,League,1988,Ian Muir,,,,,,,,,
1989-03-11,Rochdale,League,1988,Chris Malkin,,,,,,,,,
1989-03-13,Torquay United,League,1988,Own Goal,,,,,,,,,
1989-03-13,Torquay United,League,1988,Chris Malkin,,,,,,,,,
1989-03-13,Torquay United,League,1988,Chris Malkin,,,,,,,,,
1989-03-20,Exeter City,League,1988,Ian Muir,,,,,,,,,
1989-03-20,Exeter City,League,1988,Ian Muir,Chris Malkin,Shot,Cross,,,TRUE,,Right,Right
1989-03-25,Burnley,League,1988,Eddie Bishop,,,,,,,,,
1989-03-25,Burnley,League,1988,Eddie Bishop,,,,,,,,,
1989-03-27,Leyton Orient,League,1988,Jim Harvey,,,,,,,,,
1989-03-27,Leyton Orient,League,1988,Jim Steel,,,,,,,,,
1989-03-27,Leyton Orient,League,1988,Steve Mungall,,,,,,,,,
1989-04-01,Darlington,League,1988,Tony Thomas,,,,,,,,,
1989-04-01,Darlington,League,1988,Steve Vickers,,,,,,,,,
1989-04-05,Exeter City,League,1988,Tony Thomas,,,,,,,,,
1989-04-07,Scunthorpe United,League,1988,John Morrissey,,,,,,,,,
1989-04-07,Scunthorpe United,League,1988,Ian Muir,,,,,,,,,
1989-04-15,Hartlepool United,League,1988,Jim Steel,,,,,,,,,
1989-04-15,Hartlepool United,League,1988,Ian Muir,,,,,,,,,
1989-04-28,Stockport County,League,1988,Ian Muir,,FreeKick,,,,,TRUE,,Right
1989-05-01,Hereford United,League,1988,Ian Muir,,,,,,,,,
1989-05-09,Grimsby Town,League,1988,Mark McCarrick,,,,,,,,,
1989-05-09,Grimsby Town,League,1988,Mark Hughes,,,,,,,,,
1989-05-09,Grimsby Town,League,1988,Ian Muir,Mark McCarrick,Shot,Header,,TRUE,,,,Right
1989-05-13,Crewe Alexandra,League,1988,Ian Muir,Mark McCarrick,Header,Pass,,TRUE,,,,
