Date,Opposition,Competition,Season,Scorer,Assist,GoalType,AssistType,Minute,6YardBox,18YardBox,LongRange,CrossSide,Foot
1988-08-29,Stockport County,League Cup,1988,Ian Muir,John Morrissey,Shot,Cross,,TRUE,,,Right,Right
1988-09-05,Stockport County,League Cup,1988,Ian Muir,,Shot,,,,TRUE,,,Right
1988-09-10,Carlisle United,League,1988,Jim Steel,,,,,,,,,
1988-09-16,Cambridge United,League,1988,Ian Muir,,Penalty,,14,,TRUE,,,Right
1988-09-19,Peterborough United,League,1988,Eddie Bishop,,,,,,,,,
1988-09-23,Halifax Town,League,1988,Ian Muir,,,,,,,,,
1988-09-23,Halifax Town,League,1988,Dave Higgins,,,,,,,,,
1988-09-23,Halifax Town,League,1988,Ian Muir,,,,,,,,,
1988-09-30,Hartlepool United,League,1988,Jim Steel,,,,,,,,,
1988-09-30,Hartlepool United,League,1988,Ian Muir,Jim Steel,Shot,Pass,,,TRUE,,,Right
1988-10-11,Middlesbrough,League Cup,1988,Mark Hughes,,,,,,,,,
1988-10-22,Wrexham,League,1988,Jim Harvey,,,,,,,,,
1988-10-22,Wrexham,League,1988,Jim Harvey,,,,,,,,,
1988-10-22,Wrexham,League,1988,Eddie Bishop,,,,,,,,,
1988-10-24,Lincoln City,League,1988,Ian Muir,Jim Steel,Shot,Pass,75,,TRUE,,,Right
1988-10-29,Torquay United,League,1988,Jim Steel,,,,,,,,,
1988-10-29,Torquay United,League,1988,Ian Muir,,,,,,,,,
1988-11-01,Blackpool,League Cup,1988,Eddie Bishop,,,,,,,,,
1988-11-04,Rochdale,League,1988,Eddie Bishop,,,,,,,,,
1988-11-04,Rochdale,League,1988,John Morrissey,,,,,,,,,
1988-11-07,Hereford United,League,1988,Ian Muir,,Shot,,,,TRUE,,,Left
1988-11-12,Crewe Alexandra,League,1988,Eddie Bishop,,,,,,,,,
1988-11-19,Preston North End,FA Cup,1988,Own Goal,,,,,,,,,
1988-11-22,Preston North End,FA Cup,1988,Ian Muir,Jim Harvey,Shot,Corner,,TRUE,,,Right,Right
1988-11-22,Preston North End,FA Cup,1988,Ian Muir,,,,,,,,,
1988-11-22,Preston North End,FA Cup,1988,Ian Muir,,Shot,,,,TRUE,,,Right
1988-11-25,Stockport County,League,1988,Ian Muir,Dave Martindale,Shot,Pass,,,TRUE,,,Left
1988-12-02,Doncaster Rovers,League,1988,Mark McCarrick,,,,,,,,,
1988-12-02,Doncaster Rovers,League,1988,John Morrissey,,,,,,,,,
1988-12-05,Stockport County,Sherpa Van Trophy,1988,Jim Steel,,,,,,,,,
1988-12-05,Stockport County,Sherpa Van Trophy,1988,Steve Mungall,,,,,,,,,
1988-12-10,Northwich Victoria,FA Cup,1988,Jim Steel,,,,,,,,,
1988-12-10,Northwich Victoria,FA Cup,1988,Ian Muir,,,,,,,,,
1988-12-13,Crewe Alexandra,Sherpa Van Trophy,1988,Ian Muir,,,,,,,,,
1988-12-16,Darlington,League,1988,Ian Muir,,Penalty,,,,,,,Right
1988-12-16,Darlington,League,1988,Ian Muir,,Penalty,,,,,,,Right
1988-12-31,Scunthorpe United,League,1988,Own Goal,,Shot,,,TRUE,,,,Right
1989-01-02,Burnley,League,1988,Dave Martindale,,,,,,,,,
