Date,Opposition,Competition,Season,Scorer,Assist,GoalType,AssistType,Minute,6YardBox,18YardBox,LongRange,CrossSide,Foot
1993-03-06,Bristol City,League,1992,Chris Malkin,,,,,,,,,
1993-03-06,Bristol City,League,1992,Chris Malkin,,,,,,,,,
1993-03-09,Brentford,League,1992,Pat Nevin,,,,,,,,,
1993-03-13,Leicester City,League,1992,John Morrissey,,,,,,,,,
1993-03-13,Leicester City,League,1992,Chris Malkin,,,,,,,,,
1993-03-26,Southend United,League,1992,Dave Martindale,,,,,,,,,
1993-03-26,Southend United,League,1992,Tommy Coyne,,,,,,,,,
1993-04-02,Derby County,League,1992,Pat Nevin,,,,,,,,,
1993-04-02,Derby County,League,1992,Pat Nevin,,,,,,,,,
1993-04-06,Swindon Town,League,1992,Kenny Irons,,,,,,,,,
1993-04-06,Swindon Town,League,1992,Kenny Irons,,,,,,,,,
1993-04-06,Swindon Town,League,1992,Kenny Irons,,,,,,,,,
1993-04-12,Barnsley,League,1992,Dave Higgins,,,,,,,,,
1993-04-12,Barnsley,League,1992,Kenny Irons,,,,,,,,,
1993-04-17,Wolverhampton Wanderers,League,1992,Dave Higgins,,,,,,,,,
1993-04-17,Wolverhampton Wanderers,League,1992,Mark Proctor,,,,,,,,,
1993-05-16,Swindon Town,Play Offs,1992,John Morrissey,,,,,,,,,
1993-05-19,Swindon Town,Play Offs,1992,Kenny Irons,,,,,,,,,
1993-05-19,Swindon Town,Play Offs,1992,Pat Nevin,,,,,,,,,
1993-05-19,Swindon Town,Play Offs,1992,John Aldridge,,,,,,,,,
