Name,Link,Type
Dave Higgins,https://en.wikipedia.org/wiki/Dave_Higgins,Wikipedia
Dave Higgins,https://www.soccerbase.com/players/player.sd?player_id=3482,Soccerbase
Dave Higgins,https://www.transfermarkt.co.uk/dave-higgins/profil/spieler/729479,transfermarkt
James Norwood,https://www.soccerbase.com/players/player.sd?player_id=51911,Soccerbase
James Norwood,https://twitter.com/jnorwood_10,Twitter
James Norwood,https://www.instagram.com/jnors10/,Instagram
James Norwood,https://en.wikipedia.org/wiki/James_Norwood,Wikipedia
James Norwood,https://www.transfermarkt.co.uk/james-norwood/profil/spieler/123198,transfermarkt
